pricingdate,priceclose,r1,signal,prediction_state,ret,strategy,long-cash,long-short
2003-05-12,259.377498626709,0.011326755079847,1,1.0,0.011326755079847,0.011326755079847,0.011326755079847,0.011326755079847
2003-05-13,259.23499774932856,-0.0005493956805615,0,1.0,-0.0005493956805615,-0.0005493956805615,-0.0005493956805615,-0.0005493956805615
2003-05-14,260.0199995040894,0.0030281472855753,1,1.0,0.0030281472855753,0.0030281472855753,0.0030281472855753,0.0030281472855753
2003-05-15,262.4550008773804,0.0093646695559381,1,1.0,0.0093646695559381,0.0093646695559381,0.0093646695559381,0.0093646695559381
2003-05-16,261.9224987030029,-0.002028927521279,0,1.0,-0.002028927521279,-0.002028927521279,-0.002028927521279,-0.002028927521279
2003-05-19,257.0574994087219,-0.0185741939633734,0,1.0,-0.0185741939633734,-0.0185741939633734,-0.0185741939633734,-0.0185741939633734
2003-05-20,256.52999687194824,-0.0020520799353725,0,1.0,-0.0020520799353725,-0.0020520799353725,-0.0020520799353725,-0.0020520799353725
2003-05-21,257.79250192642206,0.004921471445322,1,1.0,0.004921471445322,0.004921471445322,0.004921471445322,0.004921471445322
2003-05-22,259.7350006103516,0.0075351248365007,1,1.0,0.0075351248365007,0.0075351248365007,0.0075351248365007,0.0075351248365007
2003-05-23,262.3375015258789,0.010019831402821,1,1.0,0.010019831402821,0.010019831402821,0.010019831402821,0.010019831402821
2003-05-27,266.8299970626831,0.0171248697219181,1,1.0,0.0171248697219181,0.0171248697219181,0.0171248697219181,0.0171248697219181
2003-05-28,265.34500122070307,-0.0055653257067312,0,1.0,-0.0055653257067312,-0.0055653257067312,-0.0055653257067312,-0.0055653257067312
2003-05-29,262.42750072479254,-0.0109951213796712,0,1.0,-0.0109951213796712,-0.0109951213796712,-0.0109951213796712,-0.0109951213796712
2003-05-30,266.13500022888184,0.0141277095344416,1,1.0,0.0141277095344416,0.0141277095344416,0.0141277095344416,0.0141277095344416
2003-06-02,266.85000133514404,0.0026866105760132,1,1.0,0.0026866105760132,0.0026866105760132,0.0026866105760132,0.0026866105760132
2003-06-03,265.9749994277954,-0.0032790028217001,0,1.0,-0.0032790028217001,-0.0032790028217001,-0.0032790028217001,-0.0032790028217001
2003-06-04,269.84499645233154,0.0145502285284775,1,1.0,0.0145502285284775,0.0145502285284775,0.0145502285284775,0.0145502285284775
2003-06-05,271.1325035095215,0.0047712837892748,1,1.0,0.0047712837892748,0.0047712837892748,0.0047712837892748,0.0047712837892748
2003-06-06,271.90499687194824,0.002849135948024,1,1.0,0.002849135948024,0.002849135948024,0.002849135948024,0.002849135948024
2003-06-09,268.13499927520746,-0.013865128041454,0,1.0,-0.013865128041454,-0.013865128041454,-0.013865128041454,-0.013865128041454
